,Organisation Name,City,County,Type & Rating,Route
4,@ Home Accommodation Services Ltd,London,,Worker (A rating),Skilled Worker
5,@ Home Accommodation Services Ltd,London,,Temporary Worker (A rating),Creative Worker
9,001 Times Ltd,London,,Worker (A rating),Skilled Worker
10,001 Times Ltd,London,,Temporary Worker (A rating),Creative Worker
13,012 Global Ltd,London,,Worker (A rating),Skilled Worker
16,0xA Technologies Ltd,London,,Worker (A rating),Skilled Worker
26,1000heads Ltd,London,,Worker (A rating),Skilled Worker
27,100Starlings Ltd,London,,Worker (A rating),Skilled Worker
28,101 Ways Limited,London,,Worker (A rating),Skilled Worker
32,10BE5 LTD.,London,,Worker (A rating),Skilled Worker
34,10X Future Technologies Services Ltd,London,,Worker (A rating),Skilled Worker
35,11 BERKELEY STREET LIMITED,London,,Worker (A rating),Skilled Worker
40,11K Consulting Ltd,London,,Worker (A rating),Skilled Worker
49,13th Street Hospitality Ltd t/a Sunday in Brooklyn,London,,Worker (A rating),Skilled Worker
52,1508 London Limited,London,,Worker (A rating),Skilled Worker
53,152 Harley Street Limited,London,London,Worker (A rating),Skilled Worker
58,16HarleyCo Limited,London,,Worker (A rating),Skilled Worker
59,17 Capital Services Ltd,London,,Worker (A rating),Skilled Worker
61,1783 Limited,London,,Worker (A rating),Skilled Worker
63,18 Degrees Below Ltd,London,,Worker (A rating),Skilled Worker
64,1854 Media Limited,London,,Worker (A rating),Skilled Worker
65,18A Charing Cross Dental Surgery,London,,Worker (A rating),Skilled Worker
66,18APR Limited,London,,Temporary Worker (A rating),Creative Worker
67,1905 Group Limited T/A 1905,London,,Worker (A rating),Skilled Worker
70,1OAK CAPITAL LIMITED,London,,Worker (A rating),Skilled Worker
79,1st Class Protection Ltd,London,,Worker (A rating),Skilled Worker
91,2 EXCEL ENGINEERING LIMITED,London,,Worker (A rating),Skilled Worker
100,201 ASIAN KITCHEN,London,,Worker (A rating),Skilled Worker
103,21ST AMENDMENT LTD,London,,Worker (A rating),Skilled Worker
104,21st Architecture Ltd,London,,Worker (A rating),Skilled Worker
106,21st Club Limited,London,,Worker (A rating),Skilled Worker
110,24 Seven UK Limited,London,,Worker (A rating),Skilled Worker
119,24Haymarket Limited,London,,Worker (A rating),Skilled Worker
120,24SQ Limited,London,,Worker (A rating),Skilled Worker
127,29FORWARD Ltd,London,,Worker (A rating),Skilled Worker
129,2CV Ltd,London,,Worker (A rating),Skilled Worker
131,2E Accountants Ltd,London,London,Worker (A rating),Skilled Worker
138,2R Capital Investment Management Limited,London,,Worker (A rating),Skilled Worker
140,2S Limited,London,,Worker (A rating),Skilled Worker
143,3 Copper Pots Limited,London,,Worker (A rating),Skilled Worker
147,3 Henrietta Street Limited,London,,Worker (A rating),Skilled Worker
157,33Seconds Ltd,London,,Worker (A rating),Skilled Worker
158,36 South Capital Advisors LLP,London,,Worker (A rating),Skilled Worker
164,360 Leaders Ltd,London,,Worker (A rating),Skilled Worker
172,38 Degrees,London,,Worker (A rating),Skilled Worker
173,38 Entertainment Group Ltd,London,,Worker (A rating),Skilled Worker
178,3AK Greenstreet Limited,London,,Worker (A rating),Skilled Worker
179,3AK London Limited,London,,Worker (A rating),Skilled Worker
188,3CS Holdings PLC,London,,Worker (A rating),Skilled Worker
189,3D Coffee (Oadby) Limited T/A Costa Coffee,London,,Worker (A rating),Skilled Worker
191,3D Industries Ltd,London,,Worker (A rating),Skilled Worker
192,3d Innovations Ltd.,London,,Worker (A rating),Skilled Worker
193,3-D Matrix UK Limited,London,,Worker (A rating),Skilled Worker
194,3-D Matrix UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
195,3D Repo Limited,London,,Worker (A rating),Skilled Worker
199,3DC Ltd,London,,Worker (A rating),Skilled Worker
200,3DReid Limited,London,,Worker (A rating),Skilled Worker
206,3H Partners Limited T/A 3HORIZONS,London,London,Worker (A rating),Skilled Worker
208,3i plc,London,,Worker (A rating),Skilled Worker
209,3i plc,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
210,3i plc,London,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
225,3RDi Limited,London,,Worker (A rating),Skilled Worker
228,3Search Limited,London,,Worker (A rating),Skilled Worker
241,4 SEASONS,London,,Worker (A rating),Skilled Worker
246,415 PALAETTE LTD,London,England,Worker (A rating),Skilled Worker
253,45R-LD LIMITED,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
255,4BIO Ventures Management Limited,London,,Worker (A rating),Skilled Worker
256,4C Associates Ltd,London,,Worker (A rating),Skilled Worker
257,4C Hotels - Minories LLP,London,,Worker (A rating),Skilled Worker
258,4C Hotels Victoria LLP,London,,Worker (A rating),Skilled Worker
263,4FEET RETAIL LTD,London,,Worker (A rating),Skilled Worker
269,4most Europe Limited,London,,Worker (A rating),Skilled Worker
273,4Site Recruitment limited,London,,Worker (A rating),Skilled Worker
278,5 E Ltd,London,,Worker (A rating),Skilled Worker
280,5 Hertford Street,London,,Worker (A rating),Skilled Worker
284,500 Degrees Herne Hill Ltd,London,,Worker (A rating),Skilled Worker
288,515 Capital Limited,London,,Worker (A rating),Skilled Worker
289,54 Capital Ltd,London,,Worker (A rating),Skilled Worker
290,54 Queens Gate Hotel Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
291,542 Digital Limited,London,,Worker (A rating),Skilled Worker
295,59 Productions,London,,Worker (A rating),Skilled Worker
296,5app Ltd,London,,Worker (A rating),Skilled Worker
297,5AXISWORKS LTD,London,,Worker (A rating),Skilled Worker
300,6 Bones Limited trading as Dirty Bones,London,,Worker (A rating),Skilled Worker
301,6 Degrees Global Limited,London,,Worker (A rating),Skilled Worker
302,6 TILL LATE LTD,London,,Worker (A rating),Skilled Worker
303,"60 Decibels, Inc",London,,Worker (A rating),Skilled Worker
305,65 Equity Partners Management (UK) Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
306,65 Equity Partners Management (UK) Limited,London,,Worker (A rating),Skilled Worker
307,66 North UK Limited,London,Greater London,Worker (A rating),Skilled Worker
308,66 North UK Limited,London,Greater London,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
310,67 Pall Mall Ltd,London,,Worker (A rating),Skilled Worker
311,6a ltd.,London,Greater London,Worker (A rating),Skilled Worker
313,6sense Insights UK Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
314,6sense Insights UK Ltd,London,,Worker (A rating),Skilled Worker
319,7 SKY SPA LTD,London,England,Worker (A rating),Skilled Worker
324,720 Management Limited,London,,Worker (A rating),Skilled Worker
325,720 Management Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
327,73 Today LTD,London,,Worker (A rating),Skilled Worker
330,77Agency Ltd,London,Greater London,Worker (A rating),Skilled Worker
331,77Agency Ltd,London,Greater London,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
337,7Ridge Limited,London,,Worker (A rating),Skilled Worker
338,8 Hours Ahead Ltd,London,Derbyshire,Worker (A rating),Skilled Worker
343,85 Piccadilly Ltd,London,Middlesex,Worker (A rating),Skilled Worker
345,88 Trading Limited,London,,Worker (A rating),Skilled Worker
346,89up Ltd,London,,Worker (A rating),Skilled Worker
351,8th Light Ltd,London,,Worker (A rating),Skilled Worker
352,8th Light Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
356,9 Cuisines Limited,London,,Worker (A rating),Skilled Worker
360,93digital,London,,Worker (A rating),Skilled Worker
363,9fin Limited,London,,Worker (A rating),Skilled Worker
367,A & A Himallari Ltd,London,,Worker (A rating),Skilled Worker
392,A D WILLIAMS & CO LTD,London,,Worker (A rating),Skilled Worker
396,A G & E S Ltd,London,,Worker (A rating),Skilled Worker
397,A G Supply Solutions Ltd,London,,Worker (A rating),Skilled Worker
400,A Holt and Sons LTD,London,,Worker (A rating),Skilled Worker
402,A INTERIORS LIMITED,London,,Worker (A rating),Skilled Worker
411,A Nelson & Co Ltd,London,,Worker (A rating),Skilled Worker
412,A Nelson & Co Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
413,A Number of Names Limited,London,London,Worker (A rating),Skilled Worker
416,A Patel T/A Mail Boxes Etc Croydon,London,,Worker (A rating),Skilled Worker
420,A Rocha UK,London,,Temporary Worker (A rating),Charity Worker
421,A S Roma UK Branch,London,,Worker (A rating),Skilled Worker
425,A T & C PROFESSIONAL SYSTEMS LIMITED,London,,Worker (A rating),Skilled Worker
426,A T Kearney Limited,London,,Worker (A rating),Skilled Worker
427,A T Kearney Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
430,A to E Training and Solutions Ltd,London,,Worker (A rating),Skilled Worker
434,A Wong Limited,London,,Worker (A rating),Skilled Worker
438,A&A  Associates (London) Limited,London,,Worker (A rating),Skilled Worker
443,A&D Food Retail Ltd,London,,Worker (A rating),Skilled Worker
446,A&F Tutors,London,,Worker (A rating),Skilled Worker
448,A&H Pizza UK LTD T/A Dominos Pizza,London,,Worker (A rating),Skilled Worker
451,"A&M Capital Advisors Europe, LLP",London,,Worker (A rating),Skilled Worker
454,A&Q Partnership (London) Ltd,London,,Worker (A rating),Skilled Worker
463,A&S FOOD AND DRINK LTD,London,,Worker (A rating),Skilled Worker
468,A&Y London Limited,London,UNITED KINGDOM,Worker (A rating),Skilled Worker
469,A. Dakri and Co Limited trading as Greenleafe Hotel,London,,Worker (A rating),Skilled Worker
473,A.B. Hotels (The Arch London) Limited,London,,Worker (A rating),Skilled Worker
474,A.B. Hotels (The Arch London) Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
475,A.C.T. London Limited,London,,Worker (A rating),Skilled Worker
478,A.H.P. MEDICAL SUPPLIES LTD,London,,Worker (A rating),Skilled Worker
